bolt_neve,termek_neve,akcio_idotartama,leiras,eredeti_ar,kedvezmenyes_ar,kartyas_e,kartya_tipus,kategoria,kategoria_kod,hierarchiaszint,egyedi_hash
Tesco,Pöttyös Óriás laktózmentes Túró Rudi multipack,2026.04.23 - 04.29,"6x51 g/cs, 6206 Ft/1 kg, Clubcarddal: 4245 Ft/1 kg, laktózmentes",1899,1299,True,Clubcarddal,Tejdesszert,131,2,5484a453639c023576442c26211e7c9200012a6616bed846dad099efe70e1f26
Lidl,PILOS Puding tejszínhabbal,2026.04.27 - 04.29,"Csokoládé / vanília | 1 db vásárlása esetén: 185 Ft/db; 1 kg = 925 Ft | Legalább 2 db vásárlása esetén, minden második termék ára: 89 Ft/db; 1 kg = 445 Ft | 200 g",185,89,True,Lidl Plus alkalmazással,Tejdesszert,131,2,8edc4ddd95c2f3c732743a66058460c1d0a6f7ee10bf7c15b38eef972b84b123
SPAR,Pöttyös proteines Túró Rudi,2026.04.23 - 04.29,"51 g (6.450,98 Ft/1 kg)",399,329,False,,Tejdesszert,131,2,db70f53cda38e2c31aac58bb1fb8365a0edba170f3eb8b6f4f230aa31484cd35
SPAR,Mizo tejföl,2026.04.23 - 04.29,"20%-os zsírtartalom 330 g (1.209,09 Ft/1 kg)",449,399,False,,Tejszín/tejhab/tejföl,167,2,e43f9ff385e6bea7ceb63f2192375d3000269d2cd1e2b3fa938773db71e82fc1
ALDI,MILSANI TEJSZÍNHAB-SPRAY,2026.04.27 - 04.29,klasszikus 250 ml/flakon 2 156 Ft/l,789,539,False,,Tejszín/tejhab/tejföl,167,2,c32257ddf0502df5415e8fb853ff89186de269a65d7f9223dbbc6a1dba97f2d3
Tesco,MÉLYALMOS TOJÁS,2026.04.27 - 04.28,"mérete: M | 10 db, 53 g/db | 82 Ft/db | 1545 Ft/kg",889,819,False,,Tojás,252,2,ef9432fc88755063357f61fbbd274d712e38697efd9d44344042a353f9571965
Lidl,PILOS Félzsíros tehéntúró,2026.04.27 - 04.29,250 g; 1 kg = 1196 Ft,339,299,False,,Túró,315,2,3d43ded3217fd1e2c8dcf7ab5629b8227524dfa9f67731d36da9cae7bf385a9d
Lidl,KISTELEKI Juhtúró,2026.04.27 - 04.29,125 g; 1 kg = 3 992 Ft,599,499,False,,Túró,315,2,fdb21e58ebca93e9b2bc41438a509a72f71c1a06e181d38b802a93a7ca7e9eb1
ALDI,MILSANI LAKTÓZMENTES TEJFÖL,2026.04.27 - 04.29,"20 % zsírtartalom 330 g/pohár 1 027,27 Ft/kg",379,339,False,,Mentes,317,2,f3b7951effec4f5419e3ed771dc6a0ffbbe1cac08020d521524d2870298dbd1e
Tesco,Merci táblás csokoládé,2026.04.23 - 04.29,"többféle, 112 g, 15170 Ft/1 kg, Clubcarddal: 11598 Ft/1 kg",1699,1299,True,Clubcarddal,Csokoládé,44,2,012ad8f19b575ff4ced99f3a696c814932e34a7b8efb36f8065615d2b2b3ef4b
Tesco,Cerbona Rudi zabrúd,2026.04.23 - 04.29,"többféle, 30 g | 159 Ft/1 db | Clubcarddal: 318 Ft/3 db",159,106,True,Clubcarddal,Csokoládé,44,2,a9c1d6105b605b3f33ed4a450daf078087e94b195fd68a783aec6282836d7647
Tesco,Tesco táblás csokoládé,2026.04.23 - 04.29,"többféle, 100 g | 4790 Ft/1 kg | Clubcarddal: 3590 Ft/1 kg",479,359,True,Clubcarddal,Csokoládé,44,2,7b5058d8b5aff59a40b9a23d61f00a25271a4614efbfd962ca36e1cf42c4a3c1
Auchan,Milka MILKA TÁBLÁS CSOKOLÁDÉ,2026.04.23 - 04.29,"Ft/db, többféle, 250/270/276/300 g, 8956/8293/8112/7463 Ft/kg Bizalomkártyával: 5596/5181/5069/4663 Ft/kg",2239,1399,True,Bizalomkártyával,Csokoládé,44,2,adfc9eb8fe77485f088b729066c281d15645198dee69012ba5e85f74da7d59f5
Tesco,Kinder Joy meglepetéssel,2026.04.23 - 04.29,20 g,499,399,True,Clubcarddal,Csokoládé,44,2,e137455fea52d48cddbae17daeec9f9e5dbef039a3f064ef1124da1e195624d4
Tesco,Tibi táblás csokoládé,2026.04.23 - 04.29,"többféle, 90 g | 6656 Ft/1 kg | Clubcarddal: 4433 Ft/1 kg",599,399,True,Clubcarddal,Csokoládé,44,2,8d025c1cc068e38d1bc204a5a3bba2926f8bd59e06f93a4f3affeb53269b0d83
Tesco,Manner ostya,2026.04.23 - 05.20,"többféle, 400 g | 7098 Ft/1 kg | Clubcarddal: 4748 Ft/1 kg",2839,1899,True,Clubcarddal,Kekszes édesség,46,2,1daaeaa02fd86b6e0d32b8d26c0462496beae1d7f070515b4b5230ed3e67e9e0
Tesco,Moments ostyaszelet,2026.04.23 - 04.29,"többféle, 45 g",249,185,True,Clubcarddal,Kekszes édesség,46,2,1f90d191c74d5a016f450863d11eb2278ea880500f0330d312bc53d00095527e
Tesco,Kinder Crunchy Cookies sütemény,2026.04.23 - 04.29,136 g | 14699 Ft/1 kg | Clubcarddal: | 12493 Ft/1 kg,1999,1699,True,Clubcarddal,Kekszes édesség,46,2,288e73fe32f1878b324e70ff330cbb82e824945abf1580212fca7796dcca654d
SPAR,SPAR friss tojásos gofri,2026.04.23 - 04.29,csomagolt 125 g (3.992 Ft/1 kg),499,399,True,Supershop kártyával,Kekszes édesség,46,2,2ba44c5c70033d9ccca2edbdae3b1b1dcdc2a66d7545e4ccdb3fb7d0e8c69bc8
Tesco,Detki Tere Fere omlós keksz,2026.04.23 - 04.29,"többféle, 180 g | 2383 Ft/1 kg | Clubcarddal: 1494 Ft/1 kg",429,269,True,Clubcarddal,Kekszes édesség,46,2,157e1216a8efa1e1d6ed7c68ba2f5aa726e2f08866501e7414aa812b7d909ad1
Tesco,Tesco piskótatallér,2026.04.23 - 04.29,"többféle, 150 g | 3327 Ft/1 kg | Clubcarddal: 2993 Ft/1 kg",499,449,True,Clubcarddal,Kekszes édesség,46,2,e17c84db303f9203f7be6f29acc0827ec9e4edb56526354fc99eef2e0d0d5b9f
Tesco,Roshen Wafers töltött ostya,2026.04.23 - 04.29,"többféle, 216 g | 3468 Ft/1 kg | Clubcarddal: 3236 Ft/1 kg",749,699,True,Clubcarddal,Kekszes édesség,46,2,b4f16c77ba51893d67897bc46fb398b9f43c65ad66b4c40247667f3df8ccec42
Tesco,Tesco Free From gluténmentes vajíízű keksz,2026.04.23 - 04.29,"55 g, 6709 Ft/1 kg, Clubcarddal: 5436 Ft/1 kg, gluténmentes",369,299,True,Clubcarddal,Kekszes édesség,46,2,7334b6f22377d51ec08ebb92fe3bcaf656520a552a61b9e33a63f5e8dc659532
Tesco,"Detki vaníliás karika cukor hozzáadása nélkül, édesítőszerekkel",2026.04.23 - 04.29,"150 g, 5460 Ft/1 kg, Clubcarddal: 3993 Ft/1 kg, hozzáadott cukrot nem tartalmaz",819,599,True,Clubcarddal,Kekszes édesség,46,2,4fb7278397d38980a3d5430bc29d596d47d3cb530721ddf0d1a15a5b80f56928
Lidl,SONDEY Töltött ostya,2026.04.23 - 04.29,Mogyorós / kakaós | 800 g; 1 kg = 1124 Ft,1299,899,False,,Kekszes édesség,46,2,17e82fce0de4da1d0e4526fd7a1a7836d22909f2618bfc189ac22f7a0daeae20
Tesco,Chiqola praliné,2026.04.23 - 04.29,"többféle, 130 g | 9992 Ft/1 kg | Clubcarddal: | 8454 Ft/1 kg",1299,1099,True,Clubcarddal,Egyéb édesség,140,2,1abdd878d6947686b396a8fdacbf710bec8f9c87efeae2a78538328a880c1feb
Tesco,Heidi Bouquet csokoládé-praliné,2026.04.23 - 04.29,120 g | 14992 Ft/1 kg | Clubcarddal: | 13325 Ft/1 kg,1799,1599,True,Clubcarddal,Egyéb édesség,140,2,0efc356e59e767f64953903f549d4eac545d868614b81c3fe35890a2c8e8daf3
Tesco,Ritter Sport tejcsokoládé válogatás,2026.04.23 - 04.29,"többféle, 176 g | 15335 Ft/1 kg | Clubcarddal: | 12494 Ft/1 kg",2699,2199,True,Clubcarddal,Egyéb édesség,140,2,39149fdeb266dbeb93ed52f247180453c65b1feabd854bfc5a8aeff5c7ec4572
Tesco,Merci Together tejcsokoládé válogatás,2026.04.23 - 04.29,175 g | 14280 Ft/1 kg | Clubcarddal: 13137 Ft/1 kg,2499,2299,True,Clubcarddal,Egyéb édesség,140,2,de1b69edc9f3b61bba7c5d343f95e61597d0cb49d97cf361352a04eaf870163c
Tesco,Merci kókuszos csokoládéválogatás,2026.04.23 - 04.29,250 g | 10996 Ft/1 kg | Clubcarddal: 7596 Ft/1 kg,2749,1899,True,Clubcarddal,Egyéb édesség,140,2,50f4e11d8ef96a9e019d829aa7db715d85b6099951941ad3636da5da9548de2c
Tesco,Merci Lovelies csokoládébonbon,2026.04.23 - 04.29,185 g | 14589 Ft/1 kg | Clubcarddal: | 12968 Ft/1 kg,2699,2399,True,Clubcarddal,Egyéb édesség,140,2,9dcd799abf948e4bdb578089abd53ebacf74e308be330c9ce5a6826146344af1
Tesco,Kayras pisztáciás desszert,2026.04.23 - 04.29,"120 g, 10825 Ft/1 kg, Clubcarddal: 9158 Ft/1 kg",1299,1099,True,Clubcarddal,Egyéb édesség,140,2,03378981c428a6fa2176d2a007dcad0229710dfa559d3926af7eeb8834931d1e
Tesco,Milka praliné,2026.04.23 - 04.29,"többféle, 110 g, 11991 Ft/1 kg, Clubcarddal: 9536 Ft/1 kg",1319,1049,True,Clubcarddal,Egyéb édesség,140,2,26471bfedd031bfea01e8ccc1a59b80343a8f519dfa7b89255c61a793b0e8fbf
Tesco,Raffaello desszert,2026.04.23 - 04.29,"230 g, 8952 Ft/1 kg, Clubcarddal: 6952 Ft/1 kg",2059,1599,True,Clubcarddal,Egyéb édesség,140,2,3e42d1c8180dde49a89bbad10e7089926da8b303efb1e085e48520f5fcb1bae0
Tesco,Celebrations vegyes válogatás,2026.04.23 - 04.29,"196 g, 14179 Ft/1 kg, Clubcarddal: 9434 Ft/1 kg",2779,1849,True,Clubcarddal,Egyéb édesség,140,2,5692a9cb9c16c1cfa06143922f20f82265b01c9ed2f56296eccf2fa97c06b088
Tesco,Ferrero Küsschen fehér csokoládés praliné,2026.04.23 - 04.29,"172 g, 17436 Ft/1 kg, Clubcarddal: 13948 Ft/1 kg",2999,2399,True,Clubcarddal,Egyéb édesség,140,2,680973e13794f3763c7b62becfbbe0d12c18c148ae53ed4688caaaf4c9130d82
Tesco,Ferrero Rocher desszert,2026.04.23 - 04.29,"100 g, 14290 Ft/1 kg, Clubcarddal: 12990 Ft/1 kg",1429,1299,True,Clubcarddal,Egyéb édesség,140,2,a79117071265d8b480b73e44f3964acbe7abd769fbf8c274c8833b2d15aa339e
Auchan,Szamos SZAMOS SZÍVDESSZERT TÖLTÖTT MARCIPÁN VÁLOGATÁS,2026.04.23 - 04.29,"130 g, 23992 Ft/kg Bizalomkártyával: 20762 Ft/kg",3119,2699,True,Bizalomkártyával,Egyéb édesség,140,2,c97cee74be90747c8bdb9835bf2b7c8f6f71aafbc9d0978aadac9bbbeb0a83bd
Auchan,Milka MILKA PRALINÉ,2026.04.23 - 04.29,"többféle, 110 g, 11627 Ft/kg Bizalomkártyával: 9082 Ft/kg",1279,999,True,Bizalomkártyával,Egyéb édesség,140,2,4ec8c97550cb3ed2dfd2d2b47d525121967a3fee9ca43218f0d50a42927b35ad
SPAR,After Eight desszert,2026.04.23 - 04.29,többféle 200 g (9.995 Ft/1 kg),1999,1799,True,Supershop kártyával,Egyéb édesség,140,2,ee577a2768cb62989e461f6629096c73c66e2bdb967911d43957e9a8de469ba7
SPAR,Celebrations,2026.04.23 - 04.29,"196 g (11.729,59 Ft/1 kg)",2299,1999,True,Supershop kártyával,Egyéb édesség,140,2,73a6e46b00b0670ce477bb67e2678d26990fadef485d9529422bac8be6477e39
Tesco,Marlenka golyó,2026.04.23 - 04.29,"többféle, 235 g, 14038 Ft/1 kg, Clubcarddal: 8294 Ft/1 kg",3299,1949,True,Clubcarddal,Sütemény,172,2,3429da749b9737db1a00bbc219bb7b79ec9a2b54a3fd2b463af8502b86f20692
SPAR,"Kata vaníliaízű, habos szelet",2026.04.23 - 04.29,csomagolt 200 g (6.495 Ft/1 kg),1299,999,True,Supershop kártyával,Sütemény,172,2,d0013b4c18b0e14567503f6b3553ebd74d6c713683c3f65e1ac98e176558ff85
Tesco,Benei vegyes kis linzer-isler,2026.04.23 - 04.29,230 g | 6387 Ft/1 kg | Clubcarddal: 4343 Ft/1 kg,1469,999,True,Clubcarddal,Sütemény,172,2,cc060d1ceb67e92c51a7be256a61167c776b36108a082067ce6390d0d35de849
Tesco,Szamos isler feketeribizli-lekvárral,2026.04.23 - 04.29,70 g | 21414 Ft/1 kg | Clubcarddal: 18557 Ft/1 kg | gluténmentes,1499,1299,True,Clubcarddal,Sütemény,172,2,3fda4990e3d6a7a7ee65bee48d01395eceb8df06c4d5ed150f47dc73a6b63362
Tesco,Szamos linzer narancslekvárral,2026.04.23 - 04.29,70 g | 19271 Ft/1 kg | Clubcarddal: 16414 Ft/1 kg | gluténmentes,1349,1149,True,Clubcarddal,Sütemény,172,2,388b0e1e4d7361d7fd2797ac7c5189a496662a613cc882cfa7fdc10121df2257
Auchan,TORNYOS BROWNIE SZELET,2026.04.23 - 04.29,"hozzáadott cukor nélkül, 200 g, 7645 Ft/kg, 4495 Ft/kg",1529,899,False,,Sütemény,172,2,26d701a255effae5d814a2b28c9ce24230b1ee32b17ab1e875c088283a6a24a3
Tesco,Haribo Hearts szív alakú gumicukor,2026.04.23 - 04.29,100 g | 4690 Ft/1 kg | Clubcarddal: 3990 Ft/1 kg,469,399,True,Clubcarddal,Cukorka/gumicukor/rágógumi,318,2,2ee64b87eb353cfed0264be7022c09e213ee70cbb9e4e5c835a7bea1f839bdda
Tesco,Trolli gumicukor,2026.04.23 - 04.29,"többféle, 100 g | 5990 Ft/1 kg | Clubcarddal: 4890 Ft/1 kg",599,489,True,Clubcarddal,Cukorka/gumicukor/rágógumi,318,2,ad79d4cceda5f75e1a4f3db5d69f2e23fb214417d4c64e7e7a7efae9ba8757ca
Tesco,Bens Original főzőtasakos hosszú szemű rizs,2026.04.23 - 04.29,8x125 g/cs,2639,2299,True,Clubcarddal,Rizs/tészta/hüvelyes,47,2,c01608f0961d7f7b6cd7fc36134af0162e3c144ebd185e2f63a3203b3185f9c5
Auchan,Riceland RICELAND HOSSZÚSZEMŰ A MINŐSÉGŰ RIZS,2026.04.23 - 04.29,"1000 g, 949 Ft/kg Bizalomkártyával: 799 Ft/kg",949,799,True,Bizalomkártyával,Rizs/tészta/hüvelyes,47,2,00e45b00556fe7d28f6dec929097de3ab8e85741402a9b63d79195cee89d6049
SPAR,S-BUDGET A minőségű rizs,2026.04.23 - 04.29,1 kg,605,519,False,,Rizs/tészta/hüvelyes,47,2,46eec2ff7b78944789453dd60bda6ed9a8cf08e3e4e278c12695230359cc1e2e
Auchan,Gyermelyi GYERMELYI 4 TOJÁSOS SZÁRAZTÉSZTA,2026.04.23 - 04.29,"fodros kocka, makaróni, orsó, kagyló vagy csavartcső, 500 g, 1698 Ft/kg, 1178 Ft/kg",849,589,False,,Rizs/tészta/hüvelyes,47,2,e06f29ebdb482e6314f7c55dc8a50946c064214b2fda1554c88e5e98b6998c5a
Tesco,Cornexi zabkása,2026.04.23 - 04.29,"többféle, 55 g | 265 Ft/1 db, 4818 Ft/1 kg | Clubcarddal: | 437 Ft/2 db, 3982 Ft/1 kg",265,219,True,Clubcarddal,Müzli és gabonapehely,50,2,33e9a77210d11049c36f760eb648f6263d44c3127b7f8a0e27503bd6930e22fe
Tesco,White Snack gluténmentes kukoricapehely,2026.04.23 - 04.29,"többféle, 70 g | 3843 Ft/1 kg | Clubcarddal: | 3129 Ft/1 kg | gluténmentes",269,219,True,Clubcarddal,Müzli és gabonapehely,50,2,df29e7ca725cf102b1d5820500f7c77a35e7b27d9b102dba79254de5417f13f1
SPAR,Corny müzliszelet,2026.04.23 - 04.29,többféle 50 g (5.980 Ft/1 kg),399,299,False,,Müzli és gabonapehely,50,2,f1043d67f55d9c47ec31b9f13d3af0ee6fab75904d165f1e4eb85e2e8cbc619f
Auchan,Cerbona CERBONA MÜZLI,2026.04.23 - 04.29,"többféle, 200 g, 4645 Ft/kg, 3495 Ft/kg",929,699,False,,Müzli és gabonapehely,50,2,7312cf111f28aa993be01a4b663508f1e25395ce441d92afe33e83c2af89c2d4
SPAR,Cerbona granola,2026.04.23 - 04.29,"többféle 450 g (2.664,44 Ft/1 kg)",1599,1199,False,,Müzli és gabonapehely,50,2,9574ebb1befa7a51fead6ec39305483212d72b42603d1e1a4c7a5c2c2b79f4f5
SPAR,Himalája étkezési kristálysó,2026.04.23 - 04.29,Sóland 1 kg,1090,799,True,Supershop kártyával,Fűszerek,128,2,463d002f9106635612c970b4a96c8716ff0ff9a59d5ec31490548d6beb26c00c
Tesco,Maggi leveskocka vagy pörköltszaft-ízesítő kocka,2026.04.23 - 04.29,"többféle, 120 g | 839 Ft/1 cs, 6992 Ft/1 kg | 1198 Ft/2 cs, 4992 Ft/1 kg",839,599,False,,Fűszerek,128,2,3e02fcf94eda9a57fed16d4b3264711f299070c560d37c5f4b94f7c81f45791f
ALDI,SWEET VALLEY ŐSZIBARACK-BEFŐTT,2026.04.27 - 04.29,"hámozott, felezett, enyhén cukrozott 820 g (480 g)/doboz 1 239,58 Ft/kg (töltőtömeg)",725,595,False,,Befőtt,123,3,589e4dac225bb14c58d7cef2fcf34e1d21055d4d195fea99f04c4d39d73cfa16
Tesco,Vecsési kovászos uborka,2026.04.23 - 04.29,1 kg,2129,1599,True,Clubcarddal,Savanyúság,329,3,389cbe461c9ec126f7821d73993b907d51bc2c7a5d2a8a4b9cd3d482a7ef879e
SPAR,SPAR ecetes cékla,2026.04.23 - 04.29,"szeletelt töltőtömeg: 430 g (1.393,02 Ft/1 kg)",699,599,False,,Savanyúság,329,3,4fac4f55679a2f342481fe2fcc7c91f7aca8875dc3c81e87f4732fd19005a3c2
Tesco,DÁRDÁS CSIRKEMÁJAS,2026.04.27 - 04.28,"100 g, 1790 Ft/kg",269,179,False,,Kenhető krém,330,3,1fef1b16338ad435890ffbaded6f724440739e11db833e791807c81a0d9376bc
SPAR,S-BUDGET aprított tonhal,2026.04.23 - 04.29,"napraforgóolajban töltőtömeg: 3×52 g (7.301,28 Ft/1 kg)",1139,999,True,Supershop kártyával,Egyéb konzerv,332,3,e77a4ea2d2eabc6cde54b74ccec412d8f241e0a59f0441d7d29b07368b5347ca
Auchan,Rio Mare RIO MARE TONHAL OLÍVAOLAJJAL,2026.04.23 - 04.29,"3x80 g, 12496 Ft/kg, 9163 Ft/kg",2999,2199,False,,Egyéb konzerv,332,3,29156bfbdcc7cc2cb0b1371804a31dfbdb5c01043eaa5f41db527e2dda8f36e9
ALDI,RIO MARE TONHAL OLÍVAOLAJBAN,2026.04.27 - 04.29,"4 x 80 g (4 x 52 g)/csomag 11 052,88 Ft/kg (töltőtömeg)",2999,2299,False,,Egyéb konzerv,332,3,41a1366806d7a0ba91e7b1bbdfeb6c2ab311c04626fc928214b48dd48ae413d3
Lidl,BARESA Zöld olivabogyó,2026.04.23 - 04.29,Mag nélkül | Töltőtömeg: 70 g; | 1 kg = 2558 Ft | 5700734,229,179,True,Lidl Plus alkalmazással,Zöldségkonzerv,333,3,b7d0ec53cd393ef1df88c2315917099bbfc202dff428d4d74ed0ff42dbb55902
SPAR,Franz Josef Exclusive olívabogyó,2026.04.23 - 04.29,"serrano sonkakrémmel, márványsajtkrémmel; zöld, magozott töltőtömeg: 130 g (5.376,92 Ft/1 kg)",899,699,False,,Zöldségkonzerv,333,3,523f4ec8d836207b4ee9d920e815f9b2676d14fdada9a12f627a657d9fb9cb70
Tesco,Bonduelle Gold csemegekukorica,2026.04.23 - 04.29,285 g | 3154 Ft/1 kg | Clubcarddal: 2804 Ft/1 kg,899,799,True,Clubcarddal,Zöldségkonzerv,334,3,a0d2482f92f4b52156d843ba627f970364a16f54deb54ce6bff924c3b4bbda29
Tesco,Globus vagdalt,2026.04.23 - 04.29,"többféle, 130 g | 2992 Ft/1 kg | Clubcarddal: 2838 Ft/1 kg",389,369,True,Clubcarddal,Egyéb konzerv,335,3,09ca6c1837ae258ccc6c4bfa0d04e7dea62955f79317950ad68f1d0965ead045
SPAR,DESPAR extra szűz olívaolaj,2026.04.23 - 04.29,"0,5 l (3.998 Ft/1 l)",2999,1999,False,,Olaj és eset,138,2,65bf5e592621e2a9ad297f90d707bf4631216b4a230ecd95b8e896c71f401a4e
ALDI,BELLASAN TÖKMAGOLAJ,2026.04.27 - 04.29,500 ml/üveg 4 778 Ft/l,3789,2389,False,,Olaj és eset,138,2,5285de1d19f69cfb91926b50448c470a9b96f5c03d37c01671fb9273e16ec55c
Tesco,Chio Stickletti,2026.04.23 - 04.29,"többféle, 80 g | 6238 Ft/1 kg | Clubcarddal: 5238 Ft/1 kg",499,419,True,Clubcarddal,Snack,139,2,5cdfc5a57a680c65e8e32b35197cd5398a0c01dc73e191ef93681ff8b23bfce1
Tesco,Chio Hula Hoops,2026.04.23 - 04.29,"többféle, 70 g | 7129 Ft/1 kg | Clubcarddal: 5986 Ft/1 kg",499,419,True,Clubcarddal,Snack,139,2,7b6acc2071e3e8f0a115f410d9f0c717ad2dbe6827b3eee0b7858fc51425f8d1
Tesco,Mogyi Micro Pop pattogtatni való kukorica multipack,2026.04.23 - 04.29,"többféle, 3x100 g/cs, 2330 Ft/1 kg, Clubcarddal: 1730 Ft/1 kg",699,519,True,Clubcarddal,Snack,139,2,7a8441d066da7275e743bc8ae503f66a833f15f17641bf25c9f4b5c015ad832b
Tesco,Csipet Ropi sós kisperec vagy sós pálcika,2026.04.23 - 04.29,"200 g, 3245 Ft/1 kg, Clubcarddal: 2495 Ft/1 kg",649,499,True,Clubcarddal,Snack,139,2,df21acc10bff6daa01828f66672e171ac860d56610d6d340f2b14c9587b0064c
Tesco,Tesco hullámos chips,2026.04.23 - 04.29,"többféle, 130 g | 3992 Ft/1 kg | Clubcarddal: 3223 Ft/1 kg",519,419,True,Clubcarddal,Snack,139,2,9da3ae180ce3d730b2069d27e7f5b40abe71b54658b130dfa3a54915e4953777
Lidl,SNACK DAY Hummusz chips,2026.04.23 - 04.29,Hagymás-tejfölös / barbecue | 50 g; 1 kg = 3 980 Ft | 6414400,295,199,True,Lidl Plus alkalmazással,Snack,139,2,887215f1761a176db4aae7d5053ed34eef545299af7049a5ebd9add4061782ef
Tesco,Pom-Bär burgonyasnack,2026.04.23 - 04.29,"többféle, 50 g 9980 Ft/1 kg Clubcarddal: 7980 Ft/1 kg",499,399,True,Clubcarddal,Snack,139,2,a6c7e499d831cc4adef6d1f97117db8c029c4fbd65e8e814415a1e0df2ae4249
Lidl,SNACK DAY Flips,2026.04.23 - 04.29,Földimogyorós | 150 g; 1 kg = 2 194 Ft | 44294,469,329,False,,Snack,139,2,d89a42d6e9a3d2e70b23705c108411275a7b1c1b0169983b22e97b17d487ed8b
Lidl,CSÍKI Chips,2026.04.23 - 04.29,Többféle | 60 g; 1 kg = 5 650 Ft | 6814589 / 6814590 / | 6814591 / 6814593,399,339,False,,Snack,139,2,98a11197d11074f50c1f7a959bea08e90f4695640ce480dca3c4b36507c91cbd
Auchan,Lays LAYS CHIPS,2026.04.23 - 04.29,"többféle, 55/60 g, 11255/10317 Ft/kg, 8527/7817 Ft/kg",619,469,False,,Snack,139,2,2ab7f986f398887c6dd3d33f5c7b9dc495c0bc5abb44200ba1972f060ed52a1e
Tesco,Mogyi Crasssh! földimogyoró,2026.04.23 - 04.29,"többféle, 60 g 6650 Ft/1 kg Clubcarddal: 4983 Ft/1 kg",399,299,True,Clubcarddal,Magvak és aszalvány,142,2,8543d5b601f081195254d96359ce42204d3dcb520b83ce6ebdd9d961e2882c56
Tesco,Mogyi pörkölt földimogyoró,2026.04.23 - 04.29,"többféle, 300 g 4663 Ft/1 kg Clubcarddal: 3330 Ft/1 kg",1399,999,True,Clubcarddal,Magvak és aszalvány,142,2,a4d95167bc7a119211ef4623d5c382b7c5b0375af1f507b567d25b1f27049719
ALDI,BELLA MANDULA,2026.04.27 - 04.29,200 g/csomag 3 745 Ft/kg,1199,749,False,,Magvak és aszalvány,142,2,a63011400a2851cf26a8f8934b8ad2b1e1812ed3acc299ca5af1d4cc573f3047
Auchan,NATURFOOD DIÁKCSEMEGE,2026.04.23 - 04.29,"200 g, 6245 Ft/kg, 3995 Ft/kg",1249,799,False,,Magvak és aszalvány,142,2,67f120626a9ed6679228f4357b4c2205f84075d5b21fe7bc3c96c993f3c5b9fb
Auchan,Nissin NISSIN SOBA PROTEIN INSTANT LEVES,2026.04.23 - 04.29,"classic, 92 g, 10315 Ft/kg | Bizalomkártyával: 7163 Ft/kg",949,659,True,Bizalomkártyával,Instant étel,165,2,8f01bc9b3b786ea8eeafda17b32cc8277f22d48a93b48323e3ad1af8b18823d6
Tesco,Knorr bögrés instant leves,2026.04.23 - 04.29,"többféle, 22 g 279 Ft/1 cs Clubcarddal: 655 Ft/3 cs",279,219,True,Clubcarddal,Instant étel,165,2,f3a818dad7191a4699c939b8e5c7e62ef787a37805dee01e77745f6fc694988d
Tesco,Maggi instant alap,2026.04.23 - 04.29,"többféle, 28/42 g 519 Ft/1 cs Clubcarddal: 797 Ft/2 cs",519,399,True,Clubcarddal,Instant étel,165,2,6559c459022ae710a12b7bc209aaa8fed42b26f34f799be41b27ff729b60161b
SPAR,Maggi Párperc instant tészta,2026.04.23 - 04.29,"59,2 g (5.050,68 Ft/1 kg) 3 db esetén: (3.361,49 Ft/1 kg)",299,199,False,,Instant étel,165,2,daf7cb85f64e230cccd5609c27210ecb47f8b24238be2447c13ef8af2eab436e
Auchan,Maggi MAGGI ALAP VAGY FIX,2026.04.23 - 04.29,"többféle, 28/42/70 g, 21036/14024/8414 Ft/kg, 14250/9500/5700 Ft/kg",589,399,False,,Instant étel,165,2,86451ff056dd29283114f54c0c5406867fdcc87962ba0b93e6be0b02cec1db95
Lidl,MAGGI Instant leves,2026.04.23 - 04.29,Húsgombóc / dörgicsei csibe / májgombóc | 70 g; 1 kg = 8558 Ft | 209541,749,599,False,,Instant étel,165,2,c6b8636bb6f28615fd74e60959f5039d9c0df34ba371f67e3857d584bb29cd00
Tesco,Univer ketchup,2026.04.23 - 04.29,1 kg,2059,1899,True,Clubcarddal,Szósz,174,2,5d09482ea6ac67bb9f0b5ad0834bc0227257f845323254c64ed2167115bf31e9
SPAR,S-BUDGET sűrített paradicsom,2026.04.23 - 04.29,"28-30% ref 140 g (1.421,43 Ft/1 kg)",199,179,True,Supershop kártyával,Szósz,174,2,28d070377e28aa403db4c0d216044270ad8d9b4ab1fbe6859e4a2e4ab5e0bb52
SPAR,Bens Original mártás,2026.04.23 - 04.29,"395 g (3.541,77 Ft/1 kg) 400 g (2.972,50/ 3.497,50 Ft/1 kg) 440 g (3.179,55 Ft/1 kg)",1189,999,True,Supershop kártyával,Szósz,174,2,06277ae09394675fdecf5add3fcb6bddd196852a0267235d5937f66085abdfcd
Tesco,Globus mustár,2026.04.23 - 04.29,440 g 2816 Ft/1 kg Clubcarddal: 2043 Ft/1 kg,1239,899,True,Clubcarddal,Szósz,174,2,9811e2d99103a014753743be08d5fe13c6856e528d8dd02df11e0609156567a2
SPAR,SPAR pizzakrém,2026.04.23 - 04.29,"160 g (2.806,25 Ft/1 kg)",579,449,False,,Szósz,174,2,0abd13e431cc3c0a14587e5f3eeb072d96af75a56f1357ff4aff9b7744b87e4b
